Kudos Date,Kudos Type,Parent ID
"20 Oct 2018, 17:22:32",Activity,1916033351
"20 Oct 2018, 17:22:38",Activity,1915001735
"22 Oct 2018, 05:23:32",Activity,1918613697
"27 Oct 2018, 15:52:15",Activity,1929865306
"28 Oct 2018, 22:24:02",Activity,1933195509
"30 Oct 2018, 20:58:36",Activity,1935743086
"1 Nov 2018, 16:01:43",Activity,1939403605
"2 Nov 2018, 22:08:55",Activity,1941656719
"4 Nov 2018, 17:23:04",Activity,1945838575
"4 Nov 2018, 17:23:09",Activity,1945201316
"4 Nov 2018, 17:23:12",Activity,1945204383
"5 Nov 2018, 18:01:25",Activity,1945923845
"6 Nov 2018, 16:54:26",Activity,1949232965
"8 Nov 2018, 20:24:12",Activity,1952750953
"9 Nov 2018, 08:46:35",Activity,1953833099
"9 Nov 2018, 17:03:04",Activity,1955008204
"10 Nov 2018, 19:25:46",Activity,1956364697
"10 Nov 2018, 19:25:50",Activity,1956571893
"10 Nov 2018, 19:25:54",Activity,1956367931
"11 Nov 2018, 13:56:26",Activity,1958674357
"11 Nov 2018, 13:56:36",Activity,1957258202
"11 Nov 2018, 17:42:50",Activity,1959132243
"11 Nov 2018, 19:41:49",Activity,1959418615
"13 Nov 2018, 08:05:18",Activity,1960406804
"13 Nov 2018, 08:05:21",Activity,1961175752
"17 Nov 2018, 09:33:40",Activity,1967583562
"20 Nov 2018, 09:48:59",Activity,1974928100
"20 Nov 2018, 22:03:08",Activity,1975784016
"23 Nov 2018, 21:07:18",Activity,1980744667
"24 Nov 2018, 16:32:29",Activity,1982049169
"3 Dec 2018, 22:34:30",Activity,1997927381
"3 Dec 2018, 22:34:36",Activity,1997740151
"13 Dec 2018, 20:03:57",Activity,2011752212
"13 Dec 2018, 20:04:13",Activity,2008171782
"13 Dec 2018, 20:04:16",Activity,2011761878
"16 Dec 2018, 22:54:58",Activity,2020896586
"16 Dec 2018, 22:55:01",Activity,2020896377
"18 Dec 2018, 21:23:22",Activity,2021607726
"22 Dec 2018, 16:06:48",Activity,2028346229
"22 Dec 2018, 16:06:57",Activity,2029841982
